,#SampleID,temperature_deg_c,ph,adiv_observed_otus
1725,678.OA.mesocosm.375,10.8,7.85,1147
1726,678.OA.mesocosm.376,10.8,7.85,986
1727,678.OA.mesocosm.378,12.1,7.69,710
1728,678.OA.mesocosm.379,12.1,7.69,1720
1729,678.OA.mesocosm.380,12.1,7.69,1211
1730,678.OA.mesocosm.381,12.1,7.69,1118
1731,678.OA.mesocosm.382,12.1,7.69,1108
1732,678.OA.mesocosm.383,12.1,7.69,1150
1733,678.OA.mesocosm.384,12.1,7.69,1278
1734,678.OA.mesocosm.386,11,7.69,1566
1735,678.OA.mesocosm.387,11,7.69,1013
1736,678.OA.mesocosm.388,11,7.69,667
1737,678.OA.mesocosm.389,11,7.69,1246
1738,678.OA.mesocosm.390,11,7.69,707
1739,678.OA.mesocosm.391,11,7.69,1111
1740,678.OA.mesocosm.392,11,8.03,1184
1741,678.OA.mesocosm.393,11,8.03,1166
1742,678.OA.mesocosm.394,11,8.03,974
1743,678.OA.mesocosm.395,11,8.03,537
1744,678.OA.mesocosm.396,10.6,7.95,1042
1745,678.OA.mesocosm.397,10.6,7.95,1276
1746,678.OA.mesocosm.398,10.6,7.95,928
1747,678.OA.mesocosm.399,10.6,7.95,916
1748,678.OA.mesocosm.400,10.8,7.85,1473
1749,678.OA.mesocosm.401,10.8,7.85,1228
1750,678.OA.mesocosm.402,10.8,7.85,867
1751,678.OA.mesocosm.403,10.8,7.85,997
1752,678.OA.mesocosm.404,11,8.01,717
1753,678.OA.mesocosm.405,11,8.01,989
1754,678.OA.mesocosm.406,11,8.01,866
1755,678.OA.mesocosm.408,12.1,7.69,671
1756,678.OA.mesocosm.409,12.1,7.69,759
1757,678.OA.mesocosm.410,12.1,7.69,1004
1758,678.OA.mesocosm.411,12.1,7.69,967
1759,678.OA.mesocosm.412,11,7.69,861
1760,678.OA.mesocosm.413,11,7.69,985
1761,678.OA.mesocosm.414,11,7.69,663
1762,678.OA.mesocosm.415,11,7.69,929
1763,678.OA.mesocosm.416,11,7.33,900
1764,678.OA.mesocosm.417,11,7.33,1006
1765,678.OA.mesocosm.418,11,7.33,620
1766,678.OA.mesocosm.420,11.1,7.21,688
1767,678.OA.mesocosm.421,11.1,7.21,991
1768,678.OA.mesocosm.422,11.1,7.21,508
1769,678.OA.mesocosm.423,11.1,7.21,765
1770,678.OA.mesocosm.424,11,7.33,952
1771,678.OA.mesocosm.425,11,7.33,945
1772,678.OA.mesocosm.426,11,7.33,879
1773,678.OA.mesocosm.427,11,7.33,1133
1774,678.OA.mesocosm.430,11.1,7.21,641
1775,678.OA.mesocosm.431,11.1,7.21,940
1776,678.OA.mesocosm.433,11.6,6.77,861
1777,678.OA.mesocosm.435,11.6,6.77,608
1778,678.OA.mesocosm.436,11.6,6.77,929
1779,678.OA.mesocosm.437,11.6,6.77,1070
1780,678.OA.mesocosm.438,11.6,6.77,731
1781,678.OA.mesocosm.439,11.6,6.77,1005
1782,678.OA.mesocosm.442,10.5,6.74,787
1783,678.OA.mesocosm.443,10.5,6.74,721
1784,678.OA.mesocosm.446,11,8.01,1063
1785,678.OA.mesocosm.451,10.8,7.85,1048
1786,678.OA.mesocosm.452,10.8,7.85,632
1787,678.OA.mesocosm.455,11.1,7.21,599
1788,678.OA.mesocosm.458,11,7.69,887
1789,678.OA.mesocosm.462,11.6,6.77,779
1790,678.OA.mesocosm.463,11.6,6.77,765
1791,678.OA.mesocosm.467,11,8.03,957
1954,713.TL11.101,,11.35,264
1958,722.CC1.1.s.1.1.sequence,,6.1,1453
1959,722.CL3.1.s.1.1.sequence,,4.9,1212
1973,722.SV1.1.s.1.1.sequence,,8.3,1123
1981,722.CC1.2.s.2.1.sequence,,6.1,1366
1982,722.CL3.2.s.2.1.sequence,,4.9,1166
1996,722.SV1.2.s.2.1.sequence,,8.3,1054
2004,722.CC1.3.s.3.1.sequence,,6.1,1403
2005,722.CL3.3.s.3.1.sequence,,4.9,1152
2019,722.SV1.3.s.3.1.sequence,,8.3,1113
2027,722.CC1.4.s.4.1.sequence,,6.1,1390
2028,722.CL3.4.s.4.1.sequence,,4.9,1197
2043,722.SV1.4.s.4.1.sequence,,8.3,1106
2051,722.CC1.5.s.6.1.sequence,,6.1,1444
2052,722.CL3.5.s.6.1.sequence,,4.9,1242
2067,722.SV1.5.s.6.1.sequence,,8.3,1109
2076,722.CC1.6.s.7.1.sequence,,6.1,1413
2077,722.CL3.6.s.7.1.sequence,,4.9,1204
2092,722.SV1.6.s.7.1.sequence,,8.3,1110
2101,722.CC1.7.s.8.1.sequence,,6.1,1450
2102,722.CL3.7.s.8.1.sequence,,4.9,1266
2117,722.SV1.7.s.8.1.sequence,,8.3,1124
2122,723.C6.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6456,,269
2123,723.C6.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6456,,263
2124,723.C6.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6459,,267
2125,723.C6.10m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6428,,297
2126,723.C6.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6428,,284
2127,723.C7.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6421,,259
2128,723.C7.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6421,,239
2129,723.C7.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6481,,270
2130,723.C7.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6481,,275
2131,723.C7.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.648,,254
2132,723.C7.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.648,,232
2133,723.C7.10m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6478,,291
2134,723.C7.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6478,,300
2135,723.C8.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6512,,262
2136,723.C8.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6512,,166
2137,723.C8.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6512,,305
2138,723.C8.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6512,,340
2139,723.C8.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6512,,264
2140,723.C8.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6512,,205
2141,723.C8.10m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6508,,297
2142,723.C8.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6508,,227
2143,723.C9.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6496,,112
2144,723.C9.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6496,,50
2145,723.C9.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6531,,244
2146,723.C9.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6531,,236
2147,723.C9.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.653,,233
2148,723.C9.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.653,,295
2149,723.C9.10m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.653,,283
2150,723.C9.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.653,,140
2151,723.C10.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6465,,193
2152,723.C10.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6518,,267
2153,723.C10.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6518,,246
2154,723.C10.5m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6517,,221
2155,723.C10.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6517,,207
2156,723.C10.10m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6518,,284
2157,723.C10.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6518,,178
2158,723.C11.0m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6453,,265
2159,723.C11.0m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6453,,250
2160,723.C11.3m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6571,,276
2161,723.C11.3m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6571,,271
2162,723.C11.5m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6569,,258
2163,723.C11.10m.L3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6568,,254
2164,723.C11.10m.G3.Catlin1.16Spool.110602.HWI.EAS137R.0375.s.3.1.sequence,-1.6568,,220
2165,723.IC1.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,274
2166,723.IC1.S1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,378
2167,723.IC1.S2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,312
2168,723.IC1.S2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,223
2169,723.IC1.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,354
2170,723.IC1.S3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,318
2171,723.IC2.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,229
2172,723.IC2.S1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,252
2173,723.IC2.S2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,274
2174,723.IC2.S2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,396
2175,723.IC2.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,318
2176,723.IC2.S3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,399
2177,723.IC3.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,318
2178,723.IC3.S1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,326
2179,723.IC3.S2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,338
2180,723.IC3.S2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,192
2181,723.IC3.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,282
2182,723.IC3.S3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,337
2183,723.IC4.S1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,304
2184,723.IC4.S1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-15,,397
2185,723.IC4.S2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,340
2186,723.IC4.S2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-10,,397
2187,723.IC4.S3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,315
2188,723.IC4.S3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-5,,405
2189,723.AcidCtrl1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,266
2190,723.AcidCtrl1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,280
2191,723.AcidCtrl2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,229
2192,723.AcidCtrl2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,171
2193,723.AcidCtrl3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,239
2194,723.AcidCtrl3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,320
2195,723.AcidLow1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,264
2196,723.AcidLow1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,33
2197,723.AcidLow2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,280
2198,723.AcidLow2.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,309
2199,723.AcidLow3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,287
2200,723.AcidLow3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,252
2201,723.AcidMid1.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,275
2202,723.AcidMid1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,282
2203,723.AcidMid2.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,299
2204,723.AcidMid3.L3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,272
2205,723.AcidMid3.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,-1.64,,305
2206,755.EF.ETA.22.07.11.lane1.NoIndex.L001,17.68,7.24,288
2208,755.EF.EPSILON.22.07.11.lane1.NoIndex.L001,17.52,7.1,415
2209,755.EF.ALPHA.22.07.11.lane1.NoIndex.L001,17.4,7,400
2210,755.LSSF.ALPHA.D45.14.07.11.lane1.NoIndex.L001,19,,1036
2211,755.LSSF.ALPHA.D30.08.07.11.lane1.NoIndex.L001,19,,1165
2212,755.LSSF.ALPHA.D30.30.06.11.lane1.NoIndex.L001,19,,766
2213,755.LSSF.ALPHA.D20.23.06.11.lane1.NoIndex.L001,19,,1047
2214,755.LSSF.ALPHA.D15.16.06.11.lane1.NoIndex.L001,19,,1073
2215,755.LSSF.ALPHA.D15.09.06.11.lane1.NoIndex.L001,18.4,,725
2216,755.LSSF.DELTA.D15.22.07.11.lane1.NoIndex.L001,20.7,,1200
2217,755.LSSF.DELTA.D10.14.07.11.lane1.NoIndex.L001,19,,571
2218,755.LSSF.ETA.D45.22.07.11.lane1.NoIndex.L001,20.7,,754
2219,755.LSSF.ZETA.D45.22.07.11.lane1.NoIndex.L001,20.7,,987
2220,755.LSSF.EPSILON.D45.22.07.11.lane1.NoIndex.L001,20.7,,783
2221,755.LSSF.ALPHA.D45.22.07.11.lane1.NoIndex.L001,20.7,,1318
2222,755.LSSF.ALPHA.D30.14.07.11.lane1.NoIndex.L001,19,,1031
2223,755.LSSF.ALPHA.D20.08.07.11.lane1.NoIndex.L001,19,,1162
2224,755.LSSF.ALPHA.D20.30.06.11.lane1.NoIndex.L001,19,,804
2225,755.LSSF.ALPHA.D15.23.06.11.lane1.NoIndex.L001,19,,1221
2226,755.LSSF.ALPHA.D10.16.06.11.lane1.NoIndex.L001,19,,1055
2227,755.LSSF.ALPHA.D10.09.06.11.lane1.NoIndex.L001,18.4,,811
2228,755.LSSF.DELTA.D10.22.07.11.lane1.NoIndex.L001,20.7,,831
2229,755.LSSF.DELTA.D5.14.07.11.lane1.NoIndex.L001,19,,786
2230,755.LSSF.ETA.D30.22.07.11.lane1.NoIndex.L001,20.7,,688
2231,755.LSSF.ZETA.D30.22.07.11.lane1.NoIndex.L001,20.7,,960
2232,755.LSSF.EPSILON.D30.22.07.11.lane1.NoIndex.L001,20.7,,764
2233,755.LSSF.ALPHA.D30.22.07.11.lane1.NoIndex.L001,20.7,,1408
2234,755.LSSF.ALPHA.D20.14.07.11.lane1.NoIndex.L001,19,,869
2235,755.LSSF.ALPHA.D15.08.07.11.lane1.NoIndex.L001,19,,1032
2236,755.LSSF.ALPHA.D15.30.06.11.lane1.NoIndex.L001,19,,773
2237,755.LSSF.ALPHA.D10.23.06.11.lane1.NoIndex.L001,19,,1166
2238,755.LSSF.ALPHA.D5.16.06.11.lane1.NoIndex.L001,19,,797
2239,755.LSSF.DELTA.D5.22.07.11.lane1.NoIndex.L001,20.7,,930
2240,755.LSSF.DELTA.D1.14.07.11.lane1.NoIndex.L001,19,,824
2241,755.LSSF.ETA.D20.22.07.11.lane1.NoIndex.L001,20.7,,754
2242,755.LSSF.ZETA.D20.22.07.11.lane1.NoIndex.L001,20.7,,867
2243,755.LSSF.EPSILON.D20.22.07.11.lane1.NoIndex.L001,20.7,,696
2244,755.LSSF.ALPHA.D20.22.07.11.lane1.NoIndex.L001,20.7,,1173
2245,755.LSSF.ALPHA.D15.14.07.11.lane1.NoIndex.L001,19,,815
2246,755.LSSF.ALPHA.D10.08.07.11.lane1.NoIndex.L001,19,,916
2247,755.LSSF.ALPHA.D10.30.06.11.lane1.NoIndex.L001,19,,620
2248,755.LSSF.ALPHA.D5.23.06.11.lane1.NoIndex.L001,19,,550
2249,755.LSSF.ALPHA.D1.16.06.11.lane1.NoIndex.L001,19,,510
2250,755.LSSF.ALPHA.D1.09.06.11.lane1.NoIndex.L001,18.4,,423
2251,755.LSSF.DELTA.D1.22.07.11.lane1.NoIndex.L001,20.7,,1040
2252,755.LSSF.DELTA.D45.08.07.11.lane1.NoIndex.L001,19,,1056
2253,755.LSSF.ETA.D15.22.07.11.lane1.NoIndex.L001,20.7,,781
2254,755.LSSF.ZETA.D15.22.07.11.lane1.NoIndex.L001,20.7,,332
2255,755.LSSF.EPSILON.D15.22.07.11.lane1.NoIndex.L001,20.7,,421
2256,755.LSSF.ALPHA.D15.22.07.11.lane1.NoIndex.L001,20.7,,1128
2257,755.LSSF.ALPHA.D10.14.07.11.lane1.NoIndex.L001,19,,797
2258,755.LSSF.ALPHA.D5.08.07.11.lane1.NoIndex.L001,19,,576
2259,755.LSSF.ALPHA.D5.30.06.11.lane1.NoIndex.L001,19,,629
2260,755.LSSF.ALPHA.D1.23.06.11.lane1.NoIndex.L001,19,,493
2261,755.EF.ALPHA.09.06.11.lane1.NoIndex.L001,14.18,7.98,812
2262,755.EF.DELTA.22.07.11.lane1.NoIndex.L001,17.42,6.92,409
2263,755.LSSF.DELTA.D45.14.07.11.lane1.NoIndex.L001,19,,953
2264,755.LSSF.DELTA.D30.08.07.11.lane1.NoIndex.L001,19,,1157
2265,755.LSSF.ETA.D10.22.07.11.lane1.NoIndex.L001,20.7,,837
2266,755.LSSF.EPSILON.D10.22.07.11.lane1.NoIndex.L001,20.7,,640
2267,755.LSSF.ALPHA.D10.22.07.11.lane1.NoIndex.L001,20.7,,1172
2268,755.LSSF.ALPHA.D5.14.07.11.lane1.NoIndex.L001,19,,741
2269,755.LSSF.ALPHA.D1.08.07.11.lane1.NoIndex.L001,19,,752
2270,755.LSSF.ALPHA.D1.30.06.11.lane1.NoIndex.L001,19,,358
2271,755.LSSF.ALPHA.D45.16.06.11.lane1.NoIndex.L001,19,,609
2272,755.LSSF.ALPHA.D45.09.06.11.lane1.NoIndex.L001,18.4,,776
2273,755.LSSF.DELTA.D45.22.07.11.lane1.NoIndex.L001,20.7,,1301
2274,755.LSSF.DELTA.D15.08.07.11.lane1.NoIndex.L001,19,,1003
2275,755.LSSF.DELTA.D15.30.06.11.lane1.NoIndex.L001,19,,880
2276,755.LSSF.DELTA.D10.23.06.11.lane1.NoIndex.L001,19,,914
2277,755.LSSF.DELTA.D5.16.06.11.lane1.NoIndex.L001,19,,905
2278,755.LSSF.DELTA.D5.02.06.11.lane1.NoIndex.L001,18.6,,533
2279,755.LSSF.DELTA.D5.26.05.11.lane1.NoIndex.L001,19.1,,681
2280,755.LSSF.GAMMA.D5.22.07.11.lane1.NoIndex.L001,20.7,,519
2281,755.LSSF.GAMMA.D1.14.07.11.lane1.NoIndex.L001,19,,370
2282,755.EF.GAMMA.30.06.11.lane1.NoIndex.L001,14.2,7.38,649
2283,755.LSSF.GAMMA.D45.23.06.11.lane1.NoIndex.L001,19,,426
2284,755.LSSF.GAMMA.D30.16.06.11.lane1.NoIndex.L001,19,,384
2285,755.LSSF.DELTA.D10.08.07.11.lane1.NoIndex.L001,19,,1031
2286,755.LSSF.DELTA.D10.30.06.11.lane1.NoIndex.L001,19,,917
2287,755.LSSF.DELTA.D5.23.06.11.lane1.NoIndex.L001,19,,678
2288,755.LSSF.DELTA.D1.16.06.11.lane1.NoIndex.L001,19,,726
2289,755.LSSF.DELTA.D1.09.06.11.lane1.NoIndex.L001,18.4,,365
2290,755.LSSF.DELTA.D1.02.06.11.lane1.NoIndex.L001,18.6,,389
2291,755.LSSF.GAMMA.D1.22.07.11.lane1.NoIndex.L001,20.7,,511
2292,755.LSSF.GAMMA.D45.08.07.11.lane1.NoIndex.L001,19,,529
2293,755.LSSF.GAMMA.D45.30.06.11.lane1.NoIndex.L001,19,,267
2294,755.LSSF.GAMMA.D30.23.06.11.lane1.NoIndex.L001,19,,370
2295,755.LSSF.GAMMA.D20.16.06.11.lane1.NoIndex.L001,19,,352
2296,755.LSSF.DELTA.D5.08.07.11.lane1.NoIndex.L001,19,,506
2297,755.LSSF.DELTA.D1.23.06.11.lane1.NoIndex.L001,19,,476
2298,755.EF.DELTA.09.06.11.lane1.NoIndex.L001,14.12,7.31,473
2299,755.EF.DELTA.02.06.11.lane1.NoIndex.L001,14.64,6.34,783
2300,755.EF.DELTA.26.05.11.lane1.NoIndex.L001,14.06,7.2,328
2301,755.EF.GAMMA.22.07.11.lane1.NoIndex.L001,17.38,7,365
2302,755.LSSF.GAMMA.D45.14.07.11.lane1.NoIndex.L001,19,,458
2303,755.LSSF.GAMMA.D30.08.07.11.lane1.NoIndex.L001,19,,472
2304,755.LSSF.GAMMA.D30.30.06.11.lane1.NoIndex.L001,19,,239
2305,755.LSSF.GAMMA.D20.23.06.11.lane1.NoIndex.L001,19,,351
2306,755.LSSF.GAMMA.D15.16.06.11.lane1.NoIndex.L001,19,,345
2307,755.LSSF.DELTA.D1.08.07.11.lane1.NoIndex.L001,19,,653
2308,755.LSSF.DELTA.D1.30.06.11.lane1.NoIndex.L001,19,,364
2309,755.LSSF.DELTA.D45.16.06.11.lane1.NoIndex.L001,19,,1264
2310,755.LSSF.DELTA.D45.09.06.11.lane1.NoIndex.L001,18.4,,622
2311,755.LSSF.GAMMA.D45.22.07.11.lane1.NoIndex.L001,20.7,,623
2312,755.LSSF.GAMMA.D30.14.07.11.lane1.NoIndex.L001,19,,466
2313,755.LSSF.GAMMA.D20.08.07.11.lane1.NoIndex.L001,19,,419
2314,755.LSSF.GAMMA.D20.30.06.11.lane1.NoIndex.L001,19,,278
2315,755.LSSF.GAMMA.D15.23.06.11.lane1.NoIndex.L001,19,,334
2316,755.LSSF.GAMMA.D10.16.06.11.lane1.NoIndex.L001,19,,289
2317,755.EF.DELTA.30.06.11.lane1.NoIndex.L001,14.3,7.22,1390
2318,755.LSSF.DELTA.D45.23.06.11.lane1.NoIndex.L001,19,,1325
2319,755.LSSF.DELTA.D30.16.06.11.lane1.NoIndex.L001,19,,1236
2320,755.LSSF.DELTA.D30.09.06.11.lane1.NoIndex.L001,18.4,,660
2321,755.LSSF.DELTA.D30.02.06.11.lane1.NoIndex.L001,18.6,,562
2322,755.LSSF.DELTA.D30.26.05.11.lane1.NoIndex.L001,19.1,,745
2323,755.LSSF.GAMMA.D30.22.07.11.lane1.NoIndex.L001,20.7,,486
2324,755.LSSF.GAMMA.D20.14.07.11.lane1.NoIndex.L001,19,,430
2325,755.LSSF.GAMMA.D15.08.07.11.lane1.NoIndex.L001,19,,429
2326,755.LSSF.GAMMA.D15.30.06.11.lane1.NoIndex.L001,19,,229
2327,755.LSSF.GAMMA.D10.23.06.11.lane1.NoIndex.L001,19,,313
2328,755.LSSF.GAMMA.D5.16.06.11.lane1.NoIndex.L001,19,,205
2329,755.LSSF.DELTA.D45.30.06.11.lane1.NoIndex.L001,19,,902
2330,755.LSSF.DELTA.D30.23.06.11.lane1.NoIndex.L001,19,,1256
